100001	0	0
100001	1	1
100101	20	0
100101	21	1
100101	22	2
100201	50	0
100201	51	1
100201	52	2
100301	105	0
110001	2	0
110001	3	1
110101	23	0
110101	24	1
110101	25	2
110201	55	0
110201	56	1
110201	57	2
110301	109	0
120001	4	0
120001	5	1
120101	26	0
120101	27	1
120101	28	2
120201	60	0
120201	61	1
120201	62	2
120301	113	0
130001	6	0
130001	7	1
130101	29	0
130101	30	1
130101	31	2
130201	65	0
130201	66	1
130201	67	2
130301	117	0
140001	8	0
140001	9	1
140101	32	0
140101	33	1
140101	34	2
140201	70	0
140201	71	1
140201	72	2
140301	121	0
150001	10	0
150001	11	1
150101	35	0
150101	36	1
150101	37	2
150201	75	0
150201	76	1
150201	77	2
150301	125	0
160001	12	0
160001	13	1
160101	38	0
160101	39	1
160101	40	2
160201	80	0
160201	81	1
160201	82	2
160301	130	0
170001	14	0
170001	15	1
170101	41	0
170101	42	1
170101	43	2
170201	85	0
170201	86	1
170201	87	2
170301	134	0
180001	16	0
180001	17	1
180101	44	0
180101	45	1
180101	46	2
180201	90	0
180201	91	1
180201	92	2
180301	139	0
190001	18	0
190001	19	1
190101	47	0
190101	48	1
190101	49	2
190201	95	0
190201	96	1
190201	97	2
190301	143	0
200201	152	0
200201	153	1
200201	154	2
200301	192	0
210201	156	0
210201	157	1
210201	158	2
210301	196	0
220201	160	0
220201	161	1
220201	162	2
220301	200	0
230201	164	0
230201	165	1
230201	166	2
230301	204	0
240201	168	0
240201	169	1
240201	170	2
240301	208	0
250201	172	0
250201	173	1
250201	174	2
250301	212	0
260201	176	0
260201	177	1
260201	178	2
260301	216	0
270201	180	0
270201	181	1
270201	182	2
270301	220	0
280201	184	0
280201	185	1
280201	186	2
290201	188	0
290201	189	1
290201	190	2
300201	100	0
300201	101	1
300201	102	2
300301	148	0
410301	230	0
420301	234	0
