3020000	1	Grommet Hatchet	 Big Fire damage to a foe.
3020001	1	Blade Action	 Big Earth damage to a foe.
3020002	1	Axe Tornado	 Big Wind damage to a foe.
3020004	1	Brutal Smash	 Big Earth damage to a foe.
3020005	1	Absolute Thrust	 Big Water damage to a foe.
3020006	1	Super Ultra Killing Slash!	 Big Earth damage to a foe.
3020007	1	Destruction Slash	 Big Earth damage to a foe.
3020008	1	Cursed Blaze	 Big Fire damage to a foe.
3020009	1	Fist of Punishment	 Big Wind damage to a foe.
3020010	1	Spatter	 Big Dark damage to a foe.
3020011	1	Wind Cross	 Big Wind damage to a foe.
3020012	1	Earth Crash	 Big Earth damage to a foe.
3020013	1	Steelshot	 Big Earth damage to a foe.
3020014	1	Joker Blast	 Big Water damage to a foe.
3020015	1	Imminent Shadow	 Big Dark damage to a foe.
3020016	1	Illuminate Star	 Big Fire damage to a foe.
3020017	1	Dark Blade	 Big Dark damage to a foe.
3020018	1	Imperial Talismancy: Strike	 Big Light damage to a foe.
3020019	1	Virtus Veritas	 Big Wind damage to a foe.
3020020	1	Belief Blow	 Big Light damage to a foe.
3020021	1	Cursed Blaze	 Big Fire damage to a foe.
3020022	1	Steelshot	 Big Earth damage to a foe.
3020023	1	Illuminating Star	 Big Fire damage to a foe.
3020024	1	Grinding Bite	 Big Light damage to a foe.
3020025	1	Blur of Blades	 Big Fire damage to a foe.
3020026	1	Izuna Leap	 Big Wind damage to a foe.
3020027	1	Roiver Gevolt	 Big Earth damage to a foe.
3020028	1	Steelshot	 Big Earth damage to a foe.
3020029	1	Frost Watch	 Big Water damage to a foe.
3020030	1	Evil Bait	 Big Water damage to a foe.
3020031	1	Super Battle Hero	 Big Dark damage to a foe.
3020032	1	Detonation Rounds	 Big Fire damage to a foe.
3020033	1	Oopsie !	 Big Earth damage to a foe.
3020034	1	Abandon Reasoning	 Big Fire damage to a foe.
3020035	1	Revolving Dice	 Big Wind damage to a foe.
3020036	1	Raider Gateway	 Big Fire damage to a foe.
3020037	1	Fist of Ascension	 Big Earth damage to a foe.
3020038	1	Bamboo Burst	 Big Fire damage to a foe.
3020039	1	Krypton Pragma	 Big Light damage to a foe.
3020040	1	Hardwave Butterfly	 Big Water damage to a foe.
3020041	1	Super Summer Fun	 Big Dark damage to a foe.
3020043	1	Invisible Hands	 Big Wind damage to a foe. 'If foe has Partnered Up:' Get up to 10,000 rupies if successful.
3020044	1	Flames of Revelation	 Big Fire damage to a foe. (Boost to charge attack damage as Dante's HP decreases.)
3020044	2	Capricieux Grasse	Frozen Blade only: Medium Water damage to a foe. Chance to gain Hostility Boosted.
3020045	1	Salvation by Faith	 Big Wind damage to a foe.
3020046	1	Vice Driver	 Big Fire damage to a foe.
3020047	1	Exploding Shot	 Big Earth damage to a foe.
3020048	1	Bold Slash	 Big Water damage to a foe.
3020049	1	Canine Fang	 Big Fire damage to a foe.
3020050	1	Cataclysmic Illustration	 Big Dark damage to a foe.
3020051	1	Sale Savvy	 Big Earth damage to a foe.
3020052	1	Everything Goes Boom!	 Big Fire damage to a foe.
3020053	1	The Final Word	 Big Water damage to a foe.
3020054	1	Salvator Rosa	 Big Light damage to a foe.
3020055	1	Vulcan Bite	 Big Earth damage to a foe.
3020056	1	Meteor Gale	 Big Wind damage to a foe.
3020057	1	Eat Up, Kids!	 Big Fire damage to a foe. Gain 3 Cracker 1.
3020058	1	Blooming Scissorwaltz	 Big Earth damage to a foe.
3020059	1	Makeover	 Put on makeup (Random effect)
3020060	1	Bamboo Burst	 Big Fire damage to a foe.
3020061	1	Cataclysmic Illustration	 Big Dark damage to a foe. Raise Body Heat Boosted (Lunalu) lvl by 1 (Max: 3).
3020062	1	Rodeo Flip	 Big Water damage to a foe.
3020063	1	Shopping Spree	 One rupie shopping spree coming right up! (Use 1-10,000 rupies at random to shop. Chance for all allies to gain Hype.)
3020064	1	Piercing Lighting	 Big Light damage to a foe.
3020066	1	Song of Silence	 Big Dark damage to a foe. Gain Charge Boost.
3020070	1	Fierce Kick	 Big Water damage to a foe. Gain DA Up.
3020071	1	Twist and Cut	 Big Wind damage to a foe. Extend the duration of Spinning High by 3.5 turns.
3020072	1	Haymaker Cat Punch	 200% elemental damage to a foe. Restore all allies' HP. (Boost to healing specs when in a better mood.)
3020073	1	Everyone's Favorite Rat	 Where... are my rat ears? (Nothing happens.)
3020074	1	Ox in Dreamland	 Thinking... of you... (Nothing happens.)
3030000	1	Skewer	 Big Light damage to a foe.
3030001	1	Tempest Blades	 Big Water damage to a foe.
3030002	1	Rune Portal	 Big Water damage to a foe.
3030003	1	Blaze of Thunder	 Big Fire damage to a foe.
3030003	2	Blaze of Thunder ++	After 5★: Massive Fire damage to a foe. Gain Skill DMG Boosted (Stackable)
3030004	1	Flaterie Sol	 Big Wind damage to a foe.
3030004	2	Danza de Espadas	After 5★: Massive Wind damage to a foe. Gain ATK Up (10% boost to ATK for each female party member).
3030005	1	Blades of Frost	 Big Water damage to a foe.
3030005	2	Realm of Ice	After 5★: Massive Water damage to a foe. All allies gain Water ATK Up.
3030006	1	Elemental Gust	 Big Water damage to a foe.
3030006	2	Alluring Gust	After 5★: Massive Water damage to a foe. Inflict Elemental Wound.
3030007	1	Die Antikenkanone	 Big Earth damage to a foe.
3030007	2	Die Drachenkanone	After 5★: Massive Earth damage to a foe. Inflict Earth DEF Lowered.
3030008	1	Piercing Punishment	 Big Fire damage to a foe.
3030008	2	Piercing Firestorm	After 5★: Massive Fire damage to a foe. Inflict Wind ATK Lowered.
3030009	1	Sublime Step	 Big Earth damage to a foe.
3030009	2	Blade Carousel	After 5★: Massive Earth damage to a foe. Gain Encore (Next use of Sword Dance activates twice).
3030010	1	Sullen Rose	 Big Wind damage to a foe.
3030011	1	Axe Slash	 Big Fire damage to a foe.
3030012	1	Fleur Tourbillon	 Big Water damage to a foe.
3030012	2	Bourgeon Flueri	After 5★: {{InfoOugi|desc=Massive Water damage to a foe. Gain Critical Up.}}
3030013	1	Out of Control	 Big Earth damage to a foe.
3030014	1	Illusion Dance	 Big Water damage to a foe.
3030014	2	Theater of Illusion	After 5★: Massive Water damage to a foe. Gain Mirror Image.
3030015	1	Talons of the Phoenix	 Big Fire damage to a foe.
3030016	1	Minenwerfer	 Big Fire damage to a foe.
